Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Prev_Season,Market_Value_Home,Market_Value_Away,Strength_Rank_Based_Home,Pythagorean_Exp_Home,Avg_Goals_Scored_Home,Home_Dependency_Home,Strength_Rank_Based_Away,Pythagorean_Exp_Away,Avg_Goals_Scored_Away,Home_Dependency_Away,Target,Log_Market_Value_Home,Log_Market_Value_Away
F1,18/09/10,00:00,Nancy,Brest,0.0,2.0,A,0.0,0.0,D,16.0,9.0,3.0,5.0,6.0,1.0,14.0,11.0,0.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,Sochaux,Nice,4.0,0.0,H,1.0,0.0,H,24.0,11.0,12.0,7.0,9.0,4.0,17.0,14.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,St Etienne,Montpellier,3.0,0.0,H,2.0,0.0,H,10.0,13.0,4.0,1.0,3.0,2.0,17.0,21.0,0.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,18/09/10,00:00,Valenciennes,Lens,1.0,1.0,D,0.0,0.0,D,10.0,12.0,2.0,3.0,1.0,7.0,18.0,10.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,19/09/10,00:00,Bordeaux,Lyon,2.0,0.0,H,0.0,0.0,D,19.0,10.0,5.0,1.0,7.0,4.0,15.0,23.0,3.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,19/09/10,00:00,Lille,Auxerre,1.0,0.0,H,0.0,0.0,D,11.0,8.0,1.0,2.0,6.0,3.0,13.0,15.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,19/09/10,00:00,Paris SG,Rennes,0.0,0.0,D,0.0,0.0,D,11.0,10.0,2.0,2.0,5.0,0.0,19.0,15.0,0.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Auxerre,Nancy,2.0,2.0,D,2.0,2.0,D,17.0,7.0,5.0,3.0,3.0,1.0,9.0,18.0,3.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Caen,Bordeaux,0.0,0.0,D,0.0,0.0,D,3.0,14.0,1.0,4.0,3.0,2.0,23.0,13.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Lorient,Monaco,2.0,1.0,H,1.0,1.0,D,24.0,2.0,6.0,1.0,8.0,0.0,8.0,20.0,1.0,4.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Lyon,St Etienne,0.0,1.0,A,0.0,0.0,D,28.0,5.0,4.0,2.0,12.0,2.0,11.0,21.0,3.0,4.0,1.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Marseille,Sochaux,2.0,1.0,H,1.0,0.0,H,25.0,8.0,5.0,2.0,9.0,2.0,15.0,17.0,0.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Montpellier,Arles,3.0,1.0,H,1.0,0.0,H,13.0,15.0,4.0,4.0,5.0,4.0,22.0,24.0,2.0,5.0,1.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,25/09/10,00:00,Nice,Rennes,1.0,2.0,A,1.0,1.0,D,8.0,10.0,3.0,5.0,2.0,4.0,15.0,20.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,26/09/10,00:00,Brest,Valenciennes,1.0,0.0,H,0.0,0.0,D,13.0,6.0,5.0,3.0,7.0,4.0,13.0,20.0,0.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,26/09/10,00:00,Lens,Paris SG,0.0,2.0,A,0.0,0.0,D,14.0,20.0,3.0,6.0,4.0,7.0,18.0,19.0,0.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,26/09/10,00:00,Toulouse,Lille,1.0,1.0,D,0.0,1.0,A,14.0,6.0,6.0,2.0,3.0,0.0,22.0,10.0,3.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Arles,Auxerre,0.0,4.0,A,0.0,2.0,A,8.0,14.0,0.0,8.0,5.0,0.0,16.0,18.0,1.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Bordeaux,Lorient,1.0,0.0,H,1.0,0.0,H,10.0,7.0,2.0,3.0,6.0,8.0,22.0,15.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Monaco,Brest,0.0,1.0,A,0.0,0.0,D,13.0,10.0,7.0,2.0,8.0,5.0,18.0,10.0,2.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Nancy,Lyon,2.0,3.0,A,0.0,1.0,A,19.0,8.0,6.0,3.0,6.0,3.0,20.0,21.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Sochaux,Lens,3.0,0.0,H,2.0,0.0,H,11.0,12.0,7.0,5.0,3.0,5.0,16.0,13.0,1.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,St Etienne,Marseille,1.0,1.0,D,0.0,1.0,A,18.0,13.0,8.0,3.0,9.0,4.0,12.0,10.0,1.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,02/10/10,00:00,Valenciennes,Caen,2.0,1.0,H,2.0,0.0,H,14.0,7.0,4.0,1.0,5.0,3.0,22.0,10.0,2.0,3.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,03/10/10,00:00,Lille,Montpellier,3.0,1.0,H,2.0,1.0,H,11.0,15.0,6.0,6.0,3.0,3.0,14.0,18.0,1.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,03/10/10,00:00,Paris SG,Nice,0.0,0.0,D,0.0,0.0,D,19.0,11.0,6.0,2.0,12.0,3.0,10.0,10.0,1.0,4.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,03/10/10,00:00,Rennes,Toulouse,3.0,1.0,H,1.0,0.0,H,14.0,15.0,7.0,2.0,3.0,4.0,9.0,15.0,0.0,1.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,1.0,2.3978952727983707,2.3978952727983707
F1,16/10/10,00:00,Auxerre,Bordeaux,0.0,1.0,A,0.0,1.0,A,15.0,9.0,2.0,4.0,8.0,8.0,16.0,18.0,1.0,2.0,0.0,1.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.0,2.3978952727983707,2.3978952727983707
F1,16/10/10,00:00,Brest,Arles,0.0,0.0,D,0.0,0.0,D,11.0,8.0,1.0,1.0,5.0,1.0,17.0,19.0,0.0,0.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
F1,16/10/10,00:00,Caen,Monaco,0.0,0.0,D,0.0,0.0,D,10.0,15.0,2.0,6.0,7.0,7.0,14.0,17.0,2.0,2.0,0.0,0.0,10-11,09-10,10.0,10.0,0.05,0.3,0.8,0.5,0.05,0.3,0.8,0.5,0.5,2.3978952727983707,2.3978952727983707
